"ID","start_time","completion_time","major","active_mobility","home_campus","frequency_visiting_canteen","staff_response","friendly_staff","quick_response_staff","order_waiting_time","payment_method","smooth_payment","clear_menu_info","clean_area","cozy_room_layout","neat_furniture_placement","clean_utensils","cleaning_facility","proper_table_chair","cozy_seating_area","menu_variety","healty_menu","freshness_menu","taste_match_price","affordable_price","price_vs_quality"
12,2025-04-05 18:35:56,2025-04-05 18:37:57,"digital business","iya","campus b","1-2 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju"
14,2025-04-05 18:38:42,2025-04-05 18:42:44,"computer science","iya","campus b","3-4 kali","sangat setuju","sangat setuju","sangat setuju","sangat setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak setuju","setuju"
15,2025-04-05 18:36:07,2025-04-05 18:43:53,"computer science","iya","campus b","1-2 kali","setuju","setuju","setuju","setuju","sangat setuju","setuju","setuju","setuju","setuju","setuju","setuju","sangat setuju","setuju","sangat setuju","sangat setuju","setuju","setuju","sangat setuju","setuju","setuju"
16,2025-04-05 18:39:48,2025-04-05 18:44:13,"computer science","iya","campus b","3-4 kali","setuju","setuju","sangat setuju","setuju","sangat setuju","sangat setuju","setuju","setuju","sangat tidak setuju","setuju","setuju","tidak merasakan","setuju","sangat tidak setuju","sangat setuju","sangat setuju","sangat setuju","setuju","sangat setuju","sangat setuju"
17,2025-04-05 19:11:49,2025-04-05 19:16:21,"computer science","iya","campus m","1-2 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak setuju","tidak setuju","tidak merasakan","tidak setuju","tidak merasakan","tidak setuju","sangat setuju","setuju","setuju","setuju","setuju","setuju"
18,2025-04-05 21:32:59,2025-04-05 21:35:02,"computer science","iya","campus b","3-4 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan"
21,2025-04-06 21:26:52,2025-04-06 21:29:18,"computer science","iya","campus s","3-4 kali","tidak merasakan","setuju","setuju","setuju","setuju","setuju","tidak setuju","setuju","setuju","setuju","setuju","tidak setuju","setuju","tidak setuju","setuju","tidak merasakan","setuju","setuju","setuju","setuju"
22,2025-04-06 21:29:18,2025-04-06 21:32:03,"computer science","iya","campus s","3-4 kali","tidak merasakan","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak merasakan","setuju","tidak setuju","setuju","tidak setuju","setuju","setuju","setuju","setuju","setuju","setuju"
23,2025-04-06 21:32:46,2025-04-06 21:36:00,"computer science","iya","campus s","1-2 kali","tidak merasakan","sangat tidak setuju","sangat setuju","sangat setuju","sangat tidak setuju","setuju","sangat setuju","setuju","setuju","setuju","setuju","sangat tidak setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak setuju","setuju"
24,2025-04-06 22:42:04,2025-04-06 22:46:10,"computer science","iya","campus s",">4 kali","sangat setuju","sangat setuju","sangat setuju","sangat setuju","setuju","sangat setuju","sangat setuju","tidak merasakan","tidak setuju","tidak merasakan","setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju"
25,2025-04-07 09:21:15,2025-04-07 09:24:09,"computer science","iya","campus s","1-2 kali","tidak merasakan","setuju","tidak merasakan","setuju","setuju","setuju","setuju","tidak merasakan","setuju","setuju","setuju","tidak setuju","setuju","setuju","tidak merasakan","tidak merasakan","setuju","setuju","tidak merasakan","tidak merasakan"
26,2025-04-07 18:21:49,2025-04-07 18:24:41,"computer science","iya","campus s","1-2 kali","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","setuju","sangat setuju","setuju","setuju","tidak merasakan","setuju","setuju","setuju","setuju","sangat setuju","setuju","setuju","setuju"
27,2025-04-17 21:59:39,2025-04-17 22:02:10,"computer science","iya","campus s","1-2 kali","setuju","setuju","tidak setuju","setuju","setuju","setuju","tidak setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak setuju","tidak setuju"
28,2025-04-18 01:11:08,2025-04-18 01:23:38,"computer science","iya","campus s",">4 kali","sangat setuju","sangat setuju","sangat setuju","sangat setuju","tidak merasakan","tidak setuju","setuju","tidak merasakan","setuju","sangat setuju","tidak setuju","tidak setuju","setuju","tidak merasakan","sangat setuju","setuju","sangat setuju","setuju","tidak merasakan","setuju"
29,2025-04-18 01:39:36,2025-04-18 01:42:24,"computer science","iya","campus s","1-2 kali","sangat setuju","sangat setuju","sangat setuju","setuju","sangat setuju","sangat setuju","sangat setuju","setuju","sangat setuju","tidak setuju","tidak merasakan","tidak merasakan","setuju","setuju","setuju","sangat setuju","sangat setuju","sangat setuju","tidak setuju","setuju"
30,2025-04-19 15:31:09,2025-04-19 15:35:50,"computer science","iya","campus m","1-2 kali","sangat setuju","setuju","tidak merasakan","setuju","tidak merasakan","tidak setuju","sangat setuju","sangat setuju","setuju","tidak merasakan","setuju","tidak setuju","sangat setuju","setuju","sangat setuju","setuju","setuju","setuju","tidak merasakan","tidak merasakan"
31,2025-04-19 19:57:19,2025-04-19 20:00:32,"computer science","iya","campus m","0 kali","setuju","setuju","setuju","setuju","sangat setuju","sangat setuju","sangat setuju","setuju","tidak merasakan","setuju","setuju","tidak merasakan","setuju","setuju","setuju","sangat setuju","sangat setuju","setuju","sangat setuju","sangat setuju"
32,2025-04-19 22:52:15,2025-04-19 22:58:36,"public relations","iya","campus m","1-2 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju"
33,2025-04-20 11:44:04,2025-04-20 11:45:38,"communication - marketing communication","iya","campus m","3-4 kali","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju"
34,2025-04-21 12:34:07,2025-04-21 12:35:32,"information systems","iya","campus s","3-4 kali","setuju","setuju","sangat setuju","setuju","sangat setuju","sangat setuju","setuju","setuju","setuju","sangat setuju","setuju","setuju","setuju","sangat setuju","setuju","sangat setuju","setuju","setuju","setuju","sangat setuju"
35,2025-04-21 13:04:02,2025-04-21 13:07:27,"information systems","iya","campus s","1-2 kali","tidak merasakan","tidak setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju"
36,2025-04-22 12:04:37,2025-04-22 12:06:56,"information systems","iya","campus s","1-2 kali","tidak merasakan","tidak merasakan","tidak merasakan","setuju","setuju","setuju","setuju","setuju","tidak merasakan","tidak merasakan","tidak merasakan","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak setuju","setuju"
37,2025-04-22 12:17:26,2025-04-22 12:19:50,"data science","iya","campus b","1-2 kali","tidak merasakan","setuju","sangat setuju","setuju","setuju","sangat setuju","setuju","sangat setuju","sangat setuju","sangat setuju","setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju"
38,2025-04-22 12:18:49,2025-04-22 12:22:32,"computer science","iya","campus m","3-4 kali","setuju","setuju","setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","tidak merasakan","setuju","setuju","sangat setuju","sangat setuju","setuju","tidak merasakan","setuju","setuju","sangat setuju","sangat setuju"
39,2025-04-22 12:18:06,2025-04-22 12:23:05,"computer science","iya","campus b","1-2 kali","setuju","setuju","setuju","sangat setuju","setuju","sangat setuju","setuju","sangat setuju","setuju","tidak merasakan","setuju","sangat setuju","sangat setuju","sangat setuju","setuju","setuju","setuju","setuju","tidak merasakan","tidak merasakan"
40,2025-04-22 12:23:31,2025-04-22 12:27:15,"computer science","iya","campus b","1-2 kali","setuju","setuju","setuju","setuju","setuju","setuju","sangat setuju","tidak merasakan","setuju","tidak setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak merasakan","tidak merasakan"
