"ID","start_time","completion_time","major","active_mobility","home_campus","frequency_visiting_canteen","staff_response","friendly_staff","quick_response_staff","order_waiting_time","payment_method","smooth_payment","clear_menu_info","clean_area","cozy_room_layout","neat_furniture_placement","clean_utensils","cleaning_facility","proper_table_chair","cozy_seating_area","menu_variety","healty_menu","freshness_menu","taste_match_price","affordable_price","price_vs_quality","date","duration"
12,"18:35:56","18:37:57","digital business","iya","campus b","1-2 kali",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2025-04-05,2.02
14,"18:38:42","18:42:44","computer science","iya","campus b","3-4 kali",5,5,5,5,4,4,4,4,4,4,4,2,4,4,4,4,4,4,2,4,2025-04-05,4.03
15,"18:36:07","18:43:53","computer science","iya","campus b","1-2 kali",4,4,4,4,5,4,4,4,4,4,4,5,4,5,5,4,4,5,4,4,2025-04-05,7.77
16,"18:39:48","18:44:13","computer science","iya","campus b","3-4 kali",4,4,5,4,5,5,4,4,1,4,4,3,4,1,5,5,5,4,5,5,2025-04-05,4.42
17,"19:11:49","19:16:21","computer science","iya","campus m","1-2 kali",4,4,4,4,4,4,4,4,2,2,3,2,3,2,5,4,4,4,4,4,2025-04-05,4.53
18,"21:32:59","21:35:02","computer science","iya","campus b","3-4 kali",4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2025-04-05,2.05
21,"21:26:52","21:29:18","computer science","iya","campus s","3-4 kali",3,4,4,4,4,4,2,4,4,4,4,2,4,2,4,3,4,4,4,4,2025-04-06,2.43
22,"21:29:18","21:32:03","computer science","iya","campus s","3-4 kali",3,4,4,4,4,4,4,4,4,3,4,2,4,2,4,4,4,4,4,4,2025-04-06,2.75
23,"21:32:46","21:36:00","computer science","iya","campus s","1-2 kali",3,1,5,5,1,4,5,4,4,4,4,1,4,4,4,4,4,4,2,4,2025-04-06,3.23
24,"22:42:04","22:46:10","computer science","iya","campus s",">4 kali",5,5,5,5,4,5,5,3,2,3,4,5,5,5,5,5,5,5,5,5,2025-04-06,4.1
25,"09:21:15","09:24:09","computer science","iya","campus s","1-2 kali",3,4,3,4,4,4,4,3,4,4,4,2,4,4,3,3,4,4,3,3,2025-04-07,2.9
26,"18:21:49","18:24:41","computer science","iya","campus s","1-2 kali",5,5,5,5,5,5,5,4,5,4,4,3,4,4,4,4,5,4,4,4,2025-04-07,2.87
27,"21:59:39","22:02:10","computer science","iya","campus s","1-2 kali",4,4,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,2,2,2025-04-17,2.52
28,"01:11:08","01:23:38","computer science","iya","campus s",">4 kali",5,5,5,5,3,2,4,3,4,5,2,2,4,3,5,4,5,4,3,4,2025-04-18,12.5
29,"01:39:36","01:42:24","computer science","iya","campus s","1-2 kali",5,5,5,4,5,5,5,4,5,2,3,3,4,4,4,5,5,5,2,4,2025-04-18,2.8
30,"15:31:09","15:35:50","computer science","iya","campus m","1-2 kali",5,4,3,4,3,2,5,5,4,3,4,2,5,4,5,4,4,4,3,3,2025-04-19,4.68
31,"19:57:19","20:00:32","computer science","iya","campus m","0 kali",4,4,4,4,5,5,5,4,3,4,4,3,4,4,4,5,5,4,5,5,2025-04-19,3.22
32,"22:52:15","22:58:36","public relations","iya","campus m","1-2 kali",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2025-04-19,6.35
33,"11:44:04","11:45:38","communication - marketing communication","iya","campus m","3-4 kali",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2025-04-20,1.57
34,"12:34:07","12:35:32","information systems","iya","campus s","3-4 kali",4,4,5,4,5,5,4,4,4,5,4,4,4,5,4,5,4,4,4,5,2025-04-21,1.42
35,"13:04:02","13:07:27","information systems","iya","campus s","1-2 kali",3,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2025-04-21,3.42
36,"12:04:37","12:06:56","information systems","iya","campus s","1-2 kali",3,3,3,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,2,4,2025-04-22,2.32
37,"12:17:26","12:19:50","data science","iya","campus b","1-2 kali",3,4,5,4,4,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,2025-04-22,2.4
38,"12:18:49","12:22:32","computer science","iya","campus m","3-4 kali",4,4,4,5,5,5,5,5,5,3,4,4,5,5,4,3,4,4,5,5,2025-04-22,3.72
39,"12:18:06","12:23:05","computer science","iya","campus b","1-2 kali",4,4,4,5,4,5,4,5,4,3,4,5,5,5,4,4,4,4,3,3,2025-04-22,4.98
40,"12:23:31","12:27:15","computer science","iya","campus b","1-2 kali",4,4,4,4,4,4,5,3,4,2,4,4,4,4,4,4,4,4,3,3,2025-04-22,3.73
41,"12:50:29","12:53:44","computer science","iya","campus b",">4 kali",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2025-04-22,3.25
42,"12:07:02","13:33:26","computer science","iya","campus m","1-2 kali",4,4,4,3,5,4,5,4,4,4,4,4,4,4,4,4,4,4,3,4,2025-04-22,86.4
43,"13:34:36","13:36:15","computer science","iya","campus gj",">4 kali",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2025-04-22,1.65
44,"16:08:14","16:14:47","digital business","iya","campus b","3-4 kali",4,4,4,4,3,2,3,2,3,3,3,3,1,1,4,2,4,4,2,2,2025-04-22,6.55
45,"10:17:04","10:19:16","information systems","iya","campus s","1-2 kali",5,5,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2025-04-23,2.2
46,"10:52:28","10:55:04","computer science","iya","campus s","1-2 kali",4,4,4,3,5,4,4,4,3,3,3,4,4,3,4,4,4,4,3,4,2025-04-24,2.6
47,"10:55:41","10:59:27","computer science","iya","campus s","1-2 kali",4,4,4,4,2,4,4,2,5,5,5,3,5,5,5,5,5,5,5,5,2025-04-24,3.77
48,"12:58:28","13:00:04","computer science","iya","campus s",">4 kali",5,5,5,4,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,2025-04-24,1.6
49,"12:55:53","13:29:41","computer science","iya","campus s",">4 kali",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2025-04-24,33.8
50,"13:49:09","13:52:38","computer science","iya","campus s","0 kali",3,3,3,3,3,3,3,4,3,3,3,4,4,4,4,4,3,3,2,3,2025-04-24,3.48
51,"14:19:04","14:20:32","computer science","iya","campus b","3-4 kali",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,2025-04-25,1.47
52,"14:48:19","14:51:29","computer science","iya","campus m","3-4 kali",4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,2025-04-25,3.17
53,"14:43:44","14:52:13","data science","iya","campus m","1-2 kali",3,4,2,2,4,4,4,4,4,2,3,3,2,2,5,4,4,4,2,2,2025-04-25,8.48
54,"15:07:44","15:10:02","data science","iya","campus m","1-2 kali",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2025-04-25,2.3
55,"15:51:33","15:54:32","computer science","iya","campus s",">4 kali",1,2,3,2,3,2,1,1,2,3,2,1,2,3,1,2,3,4,4,3,2025-04-25,2.98
